title,raw_genres,raw_themes,raw_platforms,raw_release_date,rating,source_url,historical_status
Mount & Blade II: Bannerlord,"Action role-playing, Strategy, Simulation, Sandbox","Medieval-inspired, Warfare, Politics, Economy, Sandbox, Management","Windows, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022-10-25,7.9,https://www.mobygames.com/game/144059/mount-blade-ii-bannerlord/,core historical candidate
Manor Lords,"City-building, Real-time tactics, Strategy","Medieval, Economy, Society, Warfare, Management, Settlement","Windows, Xbox One, Xbox Series X/S",2024-04-26,7.7,https://www.mobygames.com/game/222766/manor-lohttps://www.mobygames.com/game/222766/manor-lords/,core historical candidate
Stronghold,"Real-time strategy, City-building, Simulation","Medieval, Warfare, Castle, Economy, Management",Windows,2001-10-19,7.8,https://www.mobygames.com/game/5212/firefly-studios-stronghold/,core historical candidate
Stronghold Crusader,"Real-time strategy, City-building, Simulation","Medieval, Crusades, Warfare, Castle, Economy, Management",Windows,2002-07-31,7.9,https://www.mobygames.com/game/7560/firefly-studios-stronghold-crusader/,core historical candidate
Company of Heroes,"Real-time strategy, Real-time tactics","Historical, World War II, Warfare, Military, Tactical","Windows, macOS, Linux, iOS, Android, Nintendo Switch",2006-09-12,8.7,https://www.mobygames.com/game/24117/company-of-heroes/,core historical candidate
Company of Heroes 2,"Real-time strategy, Real-time tactics","Historical, World War II, Warfare, Military, Tactical","Windows, macOS, Linux",2013-06-25,7.9,https://www.mobygames.com/game/61341/company-of-heroes-2/,core historical candidate
Call of Duty: WWII,First-person shooter,"Historical, World War II, Warfare, Military, Action","Windows, PlayStation 4, Xbox One",2017-11-03,7.1,https://www.mobygames.com/game/97870/call-of-duty-wwii/,core historical candidate
Valiant Hearts: The Great War,"Puzzle, Adventure","Historical, World War I, Warfare, Society, Narrative","Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One, Nintendo Switch, iOS, Android",2014-06-24,8,https://www.mobygames.com/game/66601/valiant-hearts-the-great-war/,core historical candidate
This War of Mine,"Survival, Strategy, Simulation","War, Society, Civilian Life, Survival, Management","Windows, macOS, Linux, Android, iOS, PlayStation 4, Xbox One, Nintendo Switch",2014-11-14,7.6,https://www.mobygames.com/game/70551/this-war-of-mine/,core historical candidate
"Papers, Please","Puzzle, Simulation","Politics, Bureaucracy, Society, Management, Dystopian","Windows, macOS, Linux, iOS, PlayStation Vita, Android",2013-08-08,8.4,https://www.mobygames.com/game/62666/papers-please/,core historical candidate
Suzerain,"Government simulation, Role-playing, Interactive fiction","Politics, Society, Economy, Diplomacy, Management","Windows, macOS, Nintendo Switch, Android, iOS, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2020-12-04,7.8,https://www.mobygames.com/game/155093/suzerain/,core historical candidate
A Plague Tale: Innocence,"Action-adventure, Stealth","Historical, Medieval, Society, Survival, Narrative","Windows, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S, Nintendo Switch",2019-05-14,8.2,https://www.mobygames.com/game/126856/a-plague-tale-innocence/,core historical candidate
Hell Let Loose,"First-person shooter, Tactical shooter","Historical, World War II, Warfare, Military, Tactical","Windows, PlayStation 5, Xbox Series X/S",2021-07-27,7.2,https://www.mobygames.com/game/128079/hell-let-loose/,core historical candidate
Verdun,First-person shooter,"Historical, World War I, Warfare, Military, Tactical","Windows, macOS, Linux, PlayStation 4, Xbox One",2015-04-28,7.1,https://www.mobygames.com/game/83475/verdun-1914-1918/,core historical candidate
Tannenberg,First-person shooter,"Historical, World War I, Warfare, Military, Tactical","Windows, macOS, Linux, PlayStation 4, Xbox One",2019-02-13,7.2,https://www.mobygames.com/game/98338/tannenberg/,core historical candidate
Isonzo,First-person shooter,"Historical, World War I, Warfare, Military, Tactical","Windows, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022-09-13,7.2,https://www.mobygames.com/game/190886/isonzo/,core historical candidate
Steel Division 2,"Real-time strategy, Wargame","Historical, World War II, Warfare, Military, Tactical, Management",Windows,2019-06-20,7.3,https://www.mobygames.com/game/128730/steel-division-ii/,core historical candidate
Assassin's Creed Shadows,"Action role-playing, Action-adventure, Open world","Historical, Sengoku Japan, Warfare, Politics, Assassination, Open World","Windows, macOS, PlayStation 5, Xbox Series X/S, Nintendo Switch 2, iPadOS",2025-03-20,8.1,https://www.mobygames.com/game/239204/assassins-creed-shadows/,core historical candidate
Anno 1800,"City-building, Real-time strategy, Simulation, Strategy","Historical, Industrial Revolution, Economy, Trade, Management, Empire","Windows, PlayStation 5, Xbox Series X/S",2019-04-16,8.4,https://www.mobygames.com/game/125200/anno-1800/,core historical candidate
